Employee ID,Evaluation,Promotion,Salary in JPY (Date:2001-2017),Quit
565,0.1,1,Low,1
141,0.1,0,Low,1
786,0.6,1,Low,0
1770,1,1,Low,0
662,1,0,Low,0
1674,0.8,1,Low,0
828,0.9,1,Low,1
2287,0.9,1,Low,0
1743,0.5,0,Low,0
988,0.6,0,Low,0
273,0.8,0,Low,1
1993,0.5,0,Low,1
1252,0.9,1,Low,0
1349,0.7,1,Low,0
825,0.3,1,Low,0
110,1,0,Low,0
2020,0.5,0,High,0
1672,0.4,1,High,1
767,0.4,1,High,1
2218,0.3,1,High,0
671,0.2,0,High,1
2149,0.5,1,High,1
1032,0.4,1,High,1
1147,0.5,0,High,0
2453,0.1,0,High,0
2036,0,0,High,0
1975,0.5,1,High,0
98,0.6,0,High,1
2127,0.9,1,High,1
1683,0.4,1,High,0
2086,0.9,1,High,1
1752,0.1,1,High,1
640,1,1,High,0
431,0.9,0,High,1
887,1,0,High,1
1466,1,0,High,1
910,0.7,1,High,1
1311,0.9,1,High,0
532,0.2,0,High,0
1977,0.6,0,High,1
510,0.2,0,High,1
1293,0.2,0,High,1
1816,1,0,High,1
1215,0.3,0,High,1
1183,0.8,0,High,1
294,0.6,1,High,0
133,0.8,1,High,0
147,0.8,1,Mid,0
1934,0.8,0,Mid,1
1607,0.8,1,Mid,0
1487,0.7,0,Mid,1
1077,0.9,1,Mid,0
2011,0.2,0,Mid,0
1963,0.2,0,Mid,1
113,0.7,0,Mid,0
234,0.1,0,Mid,0
775,0.2,0,Mid,1
1053,0.3,0,Mid,0
584,0.9,0,Mid,1
2289,0.1,0,Mid,1
949,0.2,0,Mid,1
781,0.2,1,Mid,1
498,0.3,0,Mid,0
447,0.4,0,Mid,0
930,0.4,0,Mid,1
846,0.7,0,Mid,0
496,0,0,Mid,1
672,0.9,0,Mid,1
1958,0.8,0,Mid,1
1297,0.9,0,Mid,1
680,0.9,0,Mid,0
2174,0.2,0,Mid,0
1147,0.1,0,Mid,1
2421,0.3,0,Mid,1
585,0.6,0,Mid,0
68,0.5,0,Mid,0
1992,0.1,0,Mid,1
1148,0.3,0,Mid,0
2013,0.1,0,Mid,1
15,0.1,0,Mid,1
1929,0.2,0,Mid,0
467,0.1,0,Mid,1
340,0.2,0,Mid,1
1837,1,0,Mid,1
406,0.2,0,Mid,1
2115,0.2,0,Mid,1
2317,1,0,Mid,1
889,0.2,0,Mid,0
1842,1,0,Mid,1
166,0.3,0,Mid,1
767,0.9,0,Mid,1
1239,0.4,0,Mid,0
1416,0.6,1,Mid,0
982,0.2,0,Mid,0
1358,0.3,0,Mid,1
769,0,0,Mid,0
1961,0.3,0,Mid,1
1254,0.1,0,Mid,1
1082,0.9,0,Mid,1
1387,0.2,0,Mid,1
879,0.1,0,Mid,1
2052,0.1,0,Mid,1
1668,0.6,0,Mid,0
1925,0.2,0,Mid,1
2146,0.7,0,Mid,0
990,1,0,Mid,1
218,0.3,0,Mid,1
2493,0.9,0,Mid,1
2233,0.2,0,Mid,0
2032,0.3,0,Mid,0
515,0.2,0,Mid,1
129,0.4,0,Mid,0
1132,0.3,0,Mid,0
794,0.5,0,Mid,0
1181,0.9,0,Mid,1
592,0.1,0,Mid,1
433,0.1,0,Mid,1
1972,0.1,0,Mid,1
1751,0.6,0,Mid,0
407,0.2,0,Low,1
593,0.9,0,Low,1
2408,0.9,0,Low,1
757,0.4,0,Low,0
1630,0.5,0,Low,0
1504,0.1,0,Low,0
852,0.2,0,Low,1
2262,0.1,0,Low,0
594,0.9,0,Low,1
1671,0.3,0,Low,1
2019,0.9,0,Low,1
586,1,0,Low,1
872,0.2,0,Low,1
131,0.7,0,Low,1
1956,0.2,0,Low,1
893,0.4,0,Low,0
2004,0.7,0,Low,0
203,0.8,0,Low,1
1882,0,0,Low,1
2124,0.4,0,Low,0
1527,0.6,0,Low,0
1021,0.9,0,Low,1
1673,0.2,0,Low,1
1186,0.8,0,Low,0
297,0.1,0,Low,0
4,0.5,0,Low,0
963,0.1,0,Low,0
28,1,0,Low,1
1720,0.1,0,Low,1
1635,0.8,1,Low,0
2113,0.6,1,High,0
337,0.7,0,High,1
1378,0,0,High,1
2361,0.5,0,High,0
687,0,0,High,1
1630,0.5,0,High,0
356,0.1,0,High,1
565,0.5,0,High,0
607,0.1,0,High,0
768,0.8,0,High,1
467,0.6,0,Mid,0
579,0.2,0,Mid,1
543,0.9,0,Mid,1
1719,0.3,0,Mid,0
1143,0.3,0,Mid,0
1960,0.7,0,Mid,0
2389,0.1,0,Mid,0
2356,0.6,1,Mid,0
802,0.2,0,Mid,1
1396,0.9,0,Mid,1
1202,0.2,0,Mid,1
867,0.3,0,Mid,0
1146,1,0,Mid,1
2160,0.1,0,Mid,0
2332,0.4,0,Mid,0
773,0.2,0,Mid,1
718,0.9,0,Mid,1
189,0.2,0,Mid,0
1823,0.3,0,Mid,0
1004,0.2,0,Mid,1
1537,0.9,0,Mid,1
2443,0.4,0,Mid,0
1853,0.6,0,Mid,1
1263,0.8,0,Mid,1
741,0.6,0,Mid,1
156,0.1,0,Mid,1
947,0.1,0,Mid,1
344,0.1,0,Mid,1
837,0,0,Mid,0
388,0.8,0,Mid,1
432,0.8,0,Mid,1
1325,0,0,Mid,0
2380,0.6,1,Mid,0
1159,0.3,1,Mid,0
1836,0.6,1,Mid,0
766,1,0,Mid,1
2350,0,0,Mid,1
596,0.2,0,Mid,0
1729,0.1,0,Mid,0
1137,1,1,Mid,0
,,,,1
"All employees data is collected annonimously, Last updated 2017-02-01",,,,
