id,Height,Weight
1,152,84
2,152,75
3,152,81
4,152,76
5,152,61
6,153,65
7,153,88
8,153,82
9,153,63
10,153,83
11,153,82
12,,82
13,155,59
14,155,84
15,155,
16,,71
17,156,81
18,156,84
19,,61
20,156,81
21,156,65
22,157,78
23,157,69
24,157,86
25,158,
26,158,
27,158,87
28,158,80
29,159,92
30,159,59
31,159,75
32,159,58
33,160,92
34,160,60
35,160,92
36,160,88
37,161,70
38,161,70
39,161,81
40,161,63
41,161,62
42,162,89
43,163,82
44,163,77
45,163,66
46,163,66
47,163,75
48,163,91
49,163,63
50,163,66
51,164,85
52,164,63
53,164,82
54,164,86
55,164,63
56,164,68
57,165,60
58,165,85
59,165,58
60,165,86
61,166,89
62,166,78
63,166,85
64,166,87
65,166,88
66,,61
67,,85
68,167,90
69,167,
70,167,67
71,167,86
72,167,92
73,167,62
74,167,69
75,167,84
76,,91
77,167,69
78,168,
79,168,77
80,168,74
81,168,82
82,168,75
83,168,77
84,169,75
85,170,85
86,170,62
87,170,
88,170,76
89,170,76
90,170,82
91,171,74
92,171,58
93,171,80
94,,92
95,,76
96,171,68
97,172,59
98,172,78
99,172,59
100,173,92
101,173,64
102,173,58
103,173,61
104,173,
105,173,59
106,174,79
107,174,73
108,175,81
109,175,85
110,176,74
111,176,85
112,,81
113,176,67
114,176,68
115,177,58
116,177,76
117,177,77
118,177,65
119,178,65
120,178,83
121,178,66
122,178,71
123,178,89
124,179,66
125,179,90
126,179,72
127,179,69
128,180,63
129,180,68
130,181,84
131,181,89
132,181,59
133,181,79
134,181,73
135,182,88
136,182,75
137,182,79
138,183,65
139,183,84
140,183,64
141,184,84
142,184,80
143,184,61
144,185,62
145,185,67
146,185,90
